# 3-Component Decay Chain Output
# Input parameters:
#   Half-life A (h): 1.97
#   Half-life B (h): 9.91
#   Na0: 100.0  Nb0: 0.0  Nc0: 0.0
#   tfinal (h): 50.0
#
# t(h)    NA        NB        NC        Total
3.2300   32.094680   59.514326   8.390994   100.000000
3.2400   31.981953   59.585401   8.432646   100.000000
3.2500   31.869622   59.656031   8.474347   100.000000
3.2600   31.757685   59.726217   8.516097   100.000000
3.2700   31.646142   59.795961   8.557897   100.000000
3.2800   31.534990   59.865265   8.599745   100.000000
3.2900   31.424229   59.934130   8.641641   100.000000
3.3000   31.313856   60.002558   8.683586   100.000000
3.3100   31.203872   60.070550   8.725578   100.000000
3.3200   31.094273   60.138109   8.767617   100.000000
3.3300   30.985060   60.205236   8.809704   100.000000
3.3400   30.876230   60.271932   8.851837   100.000000
3.3500   30.767783   60.338200   8.894017   100.000000
3.3600   30.659716   60.404040   8.936244   100.000000
3.3700   30.552029   60.469455   8.978516   100.000000
3.3800   30.444720   60.534447   9.020833   100.000000
3.3900   30.337788   60.599016   9.063196   100.000000
3.4000   30.231232   60.663164   9.105604   100.000000
3.4100   30.125050   60.726893   9.148057   100.000000
3.4200   30.019241   60.790205   9.190554   100.000000
3.4300   29.913803   60.853102   9.233095   100.000000
3.4400   29.808736   60.915584   9.275680   100.000000
3.4500   29.704038   60.977653   9.318309   100.000000
3.4600   29.599707   61.039312   9.360981   100.000000
3.4700   29.495743   61.100561   9.403696   100.000000
3.4800   29.392145   61.161402   9.446453   100.000000
3.4900   29.288910   61.221837   9.489253   100.000000
3.5000   29.186037   61.281867   9.532096   100.000000
3.5100   29.083526   61.341494   9.574980   100.000000
3.5200   28.981375   61.400720   9.617905   100.000000
3.5300   28.879583   61.459545   9.660872   100.000000
3.5400   28.778149   61.517972   9.703880   100.000000
3.5500   28.677070   61.576001   9.746928   100.000000
3.5600   28.576347   61.633636   9.790017   100.000000
3.5700   28.475977   61.690876   9.833147   100.000000
3.5800   28.375960   61.747724   9.876316   100.000000
3.5900   28.276294   61.804181   9.919524   100.000000
3.6000   28.176979   61.860249   9.962773   100.000000
3.6100   28.078012   61.915928   10.006060   100.000000
3.6200   27.979393   61.971222   10.049386   100.000000
3.6300   27.881120   62.026130   10.092750   100.000000
